words,nltk_sentiment
"['providing', 'much', 'relief', 'happiness', 'everyone', 'around', 'world', 'number', 'dog']",positive
"['providing', 'much', 'relief', 'happiness', 'everyone', 'around', 'world', 'number', 'dog']",positive
"['helpful', 'tip', 'coping', 'stress', 'response', 'regular', 'exercise', 'take', 'play', 'read', 'book', 'watch']",positive
"['spirit', 'anxiety', 'inspiring', 'obsess']",positive
"['sleeping', 'less', 'manage', 'anxiety', 'uncertain', 'times', 'routine', 'even', 'simple', 'one']",negative
"['frank', 'company', 'group', 'work', 'help', 'identify', 'stress']",neutral
"['check', 'manage', 'stress']",negative
"['health', 'freedom', 'happiness', 'optimism', 'gone', 'still']",positive
"['culture', 'given', 'amount', 'social', 'anxiety', 'even', 'yo']",negative
"['level', 'stressful', 'best', 'times', 'year', 'provided', 'added', 'complication']",positive
"['national', 'happiness', 'day', 'make', 'happy', 'get', 'chicken', 'safe', 'chicken']",positive
"['whats', 'happening', 'latest', 'thing', 'giving', 'real', 'anxiety', 'enough', 'deal', 'w']",positive
"['cannot', 'teach', 'anybody', 'anything', 'make', 'think', 'depression']",negative
"['welcome', 'home', 'happiness', 'son', 'hospital']",positive
"['live', 'joy', 'kind', 'love', 'unconditionally', 'amy', 'depression', 'anxiety']",positive
"['even', 'stress', 'always', 'option', 'look', 'around', 'us', 'appreciate', 'beauty']",positive
"['depression', 'read']",negative
"['emotional', 'freedom', 'anxiety', 'release', 'expert', 'listen', 'leadership']",positive
"['never', 'much', 'anxiety', 'plane', 'suck']",negative
"['quick', 'stress', 'reduction', 'unsettling', 'times', 'thank', 'god', 'coach']",positive
"['thanks', 'covid', 'back', 'school', 'way', 'stressful']",negative
"['know', 'quarantine', 'increase', 'productivity', 'lower', 'stress', 'even', 'save', 'money']",positive
"['health', 'stress', 'importance', 'data', 'based', 'g']",negative
"['vital', 'business', 'ended', 'stress', 'account']",negative
"['low', 'cost', 'acupuncture', 'clinic', 'alleviate', 'anxiety', 'stress', 'trauma', 'along']",negative
"['lot', 'ways', 'deal', 'anxiety', 'difficult', 'times', 'continue', 'reading']",negative
"['mask', 'health', 'anxiety', 'worry', 'covid', 'mask', 'problem']",negative
"['beach', 'day', 'relax', 'stress']",neutral
"['happy', 'people', 'wishing', 'safe', 'healthy', 'stress', 'free', 'day']",positive
"['least', 'assignment', 'open', 'book', 'exam', 'form', 'depression']",negative
"['feel', 'pandemic', 'stress', 'help', 'thrive']",neutral
"['dealing', 'added', 'stress', 'since', 'outbreak', 'taking', 'time', 'assess', 'e']",negative
"['emotionally', 'intelligent', 'way', 'cope', 'pandemic', 'stress', 'thinking', 'journey', 'rather']",positive
"['happiness', 'found', 'even', 'times', 'one', 'turn', 'light', 'albus']",positive
"['brink', 'mental', 'health', 'crisis', 'many', 'increasing', 'stress']",negative
"['situation', 'stressful', 'time', 'everyone', 'young', 'people', 'familiar', 'routine', 'w']",negative
"['situation', 'stressful', 'time', 'everyone', 'protect', 'reach']",negative
"['always', 'offer', 'full', 'refund', 'cancel', 'due', 'covid', 'lots', 'anxiety', 'mome']",negative
"['tired', 'anxiety', 'well', 'safely', 'imagine', 'trying', 'sleep']",positive
"['anxiety', 'depression']",negative
"['anxiety', 'depression', 'society']",negative
"['one', 'distress', 'made', 'uniquely', 'unfortunate', 'year', 'otherwise', 'struck', 'every', 'year', 'past']",negative
"['sadness', 'know', 'happiness']",positive
"['totally', 'get', 'anxiety']",negative
"['pandemic', 'affecting', 'mental', 'health', 'many', 'people', 'help', 'manage', 'stress']",neutral
"['investment', 'great', 'concerned', 'traditional', 'depression']",positive
"['ball', 'stress', 'need', 'decide']",negative
"['one', 'important', 'anxiety', 'times', 'remember']",neutral
"['distressed', 'learn', 'fire', 'accident', 'center']",negative
"['blessing', 'quarantine', 'room', 'alone', 'photography', 'depression']",negative
"['physical', 'health', 'issue', 'stress', 'global', 'pandemic', 'taking', 'toll', 'mental', 'health']",negative
"['dangerous', 'depression', 'suicidal', 'worse', 'u', 'die', 'b']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['sudden', 'shift', 'anxiety', 'increasing', 'kindness', 'explore']",positive
"['stressful', 'story', 'strain']",negative
"['hey', 'want', 'help', 'promote', 'positivity', 'decrease', 'viewer', 'anxiety', 'ar']",positive
"['panic', 'anxiety', 'depression', 'affect', 'people', 'become', 'generational', 'trauma']",negative
"['maybe', 'freedom', 'upcoming', 'depression', 'loneliness', 'depression', 'song']",negative
"['sir', 'assuming', 'grave', 'also', 'severe', 'stress']",negative
"['help', 'pet', 'separation', 'anxiety', 'via']",positive
"['stress', 'anxiety', 'related']",negative
"['looking', 'forward', 'capacity', 'also', 'appreciate', 'anxiety', 'staff', 'lea']",positive
"['alert', 'help', 'pet', 'separation', 'anxiety', 'global', 'pandemic', 'news']",positive
"['isolation', 'anxiety', 'reality', 'many', 'people', 'autism', 'community', 'thats', 'persistent', 'reality']",negative
"['difficult', 'cope', 'fear', 'anxiety', 'daily', 'general', 'sense', 'uncertainty']",negative
"['ways', 'manage', 'anxiety', 'strength', 'find', 'new', 'ways', 'calm', 'schedule', 'try']",positive
"['good', 'anxiety', 'lot', 'right', 'better', 'chance', 'dying']",positive
"['made', 'pregnancy', 'even', 'stressful', 'need', 'see', 'happy']",positive
"['anxiety', 'going', 'back', 'school', 'cut', 'hair', 'cent', 'scissors']",negative
"['toxic', 'stress', 'exactly', 'daughter', 'heart', 'breaking', 'scary', 'help']",negative
"['overview', 'respond', 'obvious', 'increase', 'stress', 'way', 'tha']",negative
"['home', 'senior', 'living', 'lee', 'woodruff', 'stress']",negative
"['financial', 'stress', 'affecting', 'secure', 'likely']",negative
"['react', 'stressful', 'different', 'ways', 'help', 'child', 'cope', 'sticking', 'routine']",negative
"['stressful', 'part', 'moving', 'times', 'designing', 'new', 'maintain']",negative
"['one', 'disaster', 'another', 'want', 'keep', 'anxiety', 'high', 'wonder', 'health']",negative
"['stress', 'health', 'everything', 'hear', 'episode']",negative
"['corporate', 'goliath', 'insurance', 'company', 'work', 'may', 'soon', 'laying', 'people', 'stress']",negative
"['imagine', 'provided', 'true', 'inclusive', 'new', 'deal', 'great', 'depression']",positive
"['stress', 'take', 'toll', 'pandemic', 'even', 'without', 'getting', 'new', 'study', 'found', 'higher', 'broken']",negative
"['new', 'course', 'today', 'handling', 'anxiety', 'build', 'emotional']",neutral
"['meditation', 'awesome', 'awesome', 'way', 'relieve', 'stress', 'times']",positive
"['june', 'position', 'paper', 'crossed', 'atlantic', 'sea', 'stress']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['please', 'dont', 'give', 'number', 'suffering', 'depression', 'result', 'th']",neutral
"['optimist', 'thinking', 'positively', 'surely', 'drive', 'stress', 'pressure', 'away']",positive
"['may', 'lord', 'may', 'get', 'lots', 'happiness', 'good', 'health', 'life']",positive
"['anxiety', 'hit', 'roof', 'presser', 'good', 'sign', 'one', 'good', 'news', 'late', 'night']",positive
"['toxic', 'stress', 'brought', 'pandemic', 'affect', 'brains', 'future']",negative
"['get', 'rid', 'anxiety', 'stress', 'impact', 'meditation', 'routine', 'daily']",negative
"['found', 'people', 'know', 'less', 'stress', 'exhibit']",negative
"['say', 'anxiety', 'around', 'personal', 'since', 'hit', 'according']",negative
"['click', 'learn', 'making', 'money', 'without', 'stress']",positive
"['mentally', 'strong', 'people', 'stress', 'trauma', 'anxiety', 'depression']",negative
"['productive', 'stress', 'trauma', 'anxiety', 'depression']",negative
"['may', 'peace', 'harmony', 'health', 'happiness', 'prevail', 'may', 'smile']",positive
"['anxiety', 'level', 'indicator']",negative
"['facing', 'stress', 'n', 'frustration', 'due', 'university', 'exam', 'help', 'us', 'bring', 'th']",negative
"['organization', 'help', 'reduce', 'anxiety', 'read', 'full', 'article', 'bu']",positive
"['organization', 'help', 'reduce', 'anxiety', 'read', 'full', 'article', 'bu']",positive
"['organization', 'help', 'reduce', 'anxiety', 'read', 'full', 'article', 'bu']",positive
"['pregnant', 'seeing', 'higher', 'depression', 'anxiety', 'pandemic', 'according', 'new', 'ca']",negative
"['paisa', 'paisa', 'paisa', 'happiness', 'got', 'amount', 'ur', 'office', 'drawer']",positive
"['probably', 'lot', 'less', 'exercise', 'bit', 'eating', 'boredom', 'stress', 'ti']",negative
"['probably', 'lot', 'less', 'exercise', 'bit', 'eating', 'boredom', 'stress', 'ti']",negative
"['probably', 'lot', 'less', 'exercise', 'bit', 'eating', 'boredom', 'stress', 'ti']",negative
"['know', 'young', 'person', 'struggling', 'anxiety', 'bereavement', 'school', 'related', 'anger']",negative
"['moral', 'stress', 'amongst', 'guide', 'collaboration']",negative
"['every', 'time', 'enter', 'crowded', 'even', 'mask', 'feel', 'anxiety', 'crawling', 'people']",negative
"['may', 'lord', 'steal', 'give', 'love', 'peace', 'happiness', 'holy']",positive
"['think', 'one', 'biggest', 'understanding', 'value', 'happiness', 'b']",positive
"['wishing', 'happy', 'may', 'auspicious', 'occasion', 'bring', 'hope', 'courage', 'happiness', 'unbound']",positive
"['official', 'post', 'doc', 'ad', 'finally', 'come', 'join', 'us', 'help', 'us', 'great', 'examining', 'stress']",positive
"['social', 'relief', 'distress', 'money', 'depressing', 'post', 'office', 'thing', 'failing', 'people', 'sent', 'aw']",negative
"['honorable', 'sir', 'academic', 'year', 'totally', 'free', 'stress']",positive
"['stress', 'stage', 'set']",negative
"['honorable', 'sir', 'academic', 'year', 'totally', 'free', 'stress']",positive
"['know', 'stressful', 'times', 'upsetting', 'many', 'people', 'particular']",negative
"['survey', 'crisis', 'added', 'whole', 'new', 'level', 'anxiety', 'worry', 'especially', 'try']",negative
"['may', 'push', 'one', 'two', 'young', 'people', 'across', 'world', 'anxiety', 'depression', 'survey']",negative
"['geopolitical', 'impact', 'unclear', 'economy', 'system', 'stress', 'c']",negative
"['quarantine', 'saved', 'lot', 'stress', 'keep', 'birthday', 'wont']",neutral
"['reduce', 'anxiety']",negative
"['ah', 'great', 'love', 'constant', 'anxiety', 'us', 'live', 'vulnerable', 'people']",positive
"['going', 'back', 'school', 'stressful', 'especially', 'added', 'uncertainty', 'surrounding', 'pandemic']",negative
"['stress', 'challenge', 'business', 'continuity', 'world', 'economic', 'forum', 'recently', 'cope']",negative
"['half', 'young', 'population', 'across', 'world', 'possibly', 'subject', 'anxiety', 'depression', 'novel']",negative
"['type', 'diabetes', 'unhealthy', 'coping', 'early', 'life', 'stress', 'stress']",negative
"['schedule', 'appointment', 'today', 'yoga', 'anxiety', 'family']",negative
"['anxiety', 'depression', 'health', 'prose', 'language', 'society']",negative
"['less', 'stress', 'better']",neutral
"['cut', 'stress', 'work', 'cha', 'freshly', 'coffee', 'wonderful', 'day', 'safety']",positive
"['everything', 'needs', 'stress', 'relief']",positive
"['new', 'report', 'family', 'stress', 'risk', 'domestic', 'abuse', 'education']",negative
"['stress', 'people', 'people', 'lost', 'income', 'home']",negative
"['help', 'cope', 'anxiety']",positive
"['help', 'cope', 'anxiety']",positive
"['pain', 'anxiety', 'sleepless', 'nights', 'tortured', 'never', 'think']",negative
"['may', 'lord', 'fill', 'home', 'lots', 'happiness', 'joy', 'happy']",positive
"['government', 'unwind', 'handle', 'collection', 'process', 'deal', 'distressed', 'customer']",negative
"['impact', 'every', 'second', 'youth', 'subject', 'depression', 'survey']",negative
"['may', 'festival', 'bring', 'happiness', 'amusement', 'joy', 'success', 'bless', 'lord', 'always']",positive
"['donated', 'distressed', 'flour', 'donated', 'mask']",negative
"['may', 'lord', 'fill', 'home', 'lots', 'happiness', 'happy', 'wishing']",positive
"['emotional', 'freedom', 'anxiety', 'release', 'expert', 'listen', 'coaching']",positive
"['series', 'rural', 'distress', 'phone']",negative
"['half', 'youth', 'population', 'subject', 'anxiety']",negative
"['take', 'look', 'short', 'guide', 'difference', 'recession', 'depression', 'impact']",negative
"['aside', 'flat', 'life', 'school', 'anxiety', 'health']",negative
"['reading', 'trigger', 'anxiety', 'us', 'build', 'resilience']",negative
"['economy', 'saw', 'worse', 'slump', 'even', 'great', 'depression', 'relative', 'recovery']",negative
"['people', 'cant', 'wear', 'face', 'mask', 'cover', 'disability', 'severe', 'distress', 'link']",negative
"['friend', 'would', 'say', 'tough', 'stressful', 'time', 'x']",negative
"['seem', 'long', 'time', 'depression', 'along', 'tu']",negative
"['need', 'outlet', 'anxiety', 'learn', 'navigate', 'turn', 'p']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['lot', 'pressure', 'pelvis', 'go', 'pee', 'lot', 'anxiety', 'vote']",negative
"['stressful', 'added', 'anxiety', 'anywhere', 'n']",negative
"['anxiety', 'type', 'cancer', 'related', 'please', 'call', 'us']",negative
"['happiness', 'handmade', 'go', 'local', 'community', 'buy', 'direct']",positive
"['many', 'people', 'anxiety', 'isolation', 'tell', 'us', 'care', 'support']",positive
"['great', 'sadness', 'today', 'confirm']",positive
"['tune', 'today', 'learn', 'help', 'stress', 'pandemic', 'free']",positive
"['day', 'mixed', 'unimaginable', 'stress', 'student']",negative
"['wont', 'file', 'tomorrow', 'either', 'matter', 'going', 'get', 'depression']",negative
"['pandemic', 'likely', 'give', 'rise', 'wave', 'distressed', 'looking']",negative
"['times', 'stress', 'uncertainty', 'someone', 'towards', 'another', 'may', 'purely', 'outward', 'expression', 'th']",negative
"['feeling', 'distressed', 'way', 'assessed', 'may', 'ask', 'revision', 'decision']",negative
"['distressed', 'join', 'us', 'discuss']",negative
"['amid', 'mass', 'death', 'economic', 'seen', 'since', 'great', 'depression', 'rising', 'unemployment', 'impoverishment']",negative
"['covid', 'ward', 'dance', 'movie', 'relieve', 'mental', 'stress', 'patient']",negative
"['stressless', 'stress', 'free', 'loll', 'big']",positive
"['enjoy', 'trump', 'heinous', 'great', 'depression']",positive
"['depression', 'us', 'hide', 'world', 'pass', 'message', 'along', 'everyone', 'due', 'complex']",negative
"['site', 'also', 'much', 'emotional', 'make', 'already', 'stressful', 'exam', 'year']",negative
"['help', 'cope', 'stress', 'anxiety', 'remain', 'calm', 'strong', 'faith', 'th']",positive
"['doubt', 'like', 'countless', 'brother', 'forced', 'appeal', 'anxiety']",negative
"['spirit', 'president', 'unsuited', 'deal', 'great', 'depression', 'unfit']",positive
"['know', 'stressful', 'times', 'upsetting', 'many', 'people', 'particular']",negative
"['game', 'cost', 'little', 'happiness', 'joy', 'fulfillment', 'end', 'wort']",positive
"['mental', 'health', 'invisible', 'therefore', 'important', 'us', 'stress']",negative
"['stress', 'trauma', 'anxiety', 'depression']",negative
"['depression', 'dementia', 'cancer', 'flat']",negative
"['starting', 'university', 'autumn', 'could', 'face', 'anxiety', 'isolation', 'loneliness']",negative
"['anxiety', 'nature']",negative
"['orange', 'energy', 'red', 'happiness', 'joy']",positive
"['causing', 'anxiety', 'depression', 'read', 'depression', 'research']",negative
"['financial', 'support', 'help', 'available', 'financial', 'distress', 'help', 'f']",positive
"['young', 'likely', 'experienced', 'high', 'depression', 'anxiety', 'loneliness']",negative
"['talking', 'lessen', 'distress', 'avoid', 'reach', 'someone']",negative
"['early', 'life', 'stress', 'chronic', 'disease', 'untreated']",negative
"['living', 'chronic', 'stress', 'psychology', 'today', 'trump']",negative
"['one', 'easily', 'overcome', 'quarantine', 'stress', 'following', 'easy', 'process', 'maintain', 'healthy']",positive
"['breaking', 'mindful', 'extraordinary', 'disruption', 'business', 'anxiety', 'causing']",negative
"['depression', 'inequity', 'education']",negative
"['dos', 'stay', 'mentally', 'healthy', 'stressful', 'information', 'ca']",negative
"['saying', 'money', 'cant', 'buy', 'happiness', 'joss', 'case', 'although', 'c']",negative
"['depression', 'without', 'prior', 'warning', 'could', 'made', 'worse', 'tune']",negative
"['life', 'mental', 'stress', 'significantly', 'number', 'shown', 'yoga', 'may', 'help']",positive
"['reduce', 'anxiety', 'people', 'know', 'process', 'place', 'handle', 'situation', 'mor']",negative
"['people', 'politicize', 'weve', 'depression', 'weve']",negative
"['need', 'new', 'narrative', 'distress', 'replace', 'one', 'individual', 'need', 'human', 'connect']",negative
"['helping', 'elderly', 'people', 'cope', 'stress', 'distressed', 'family']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['read', 'helpful', 'assist', 'coping', 'anxiety']",positive
"['anybody', 'distressed', 'c']",negative
"['true', 'real', 'effect', 'stress', 'anxiety', 'depression', 'extremely']",negative
"['causing', 'stress', 'disruption', 'young', 'follow', 'help', 'protect']",neutral
"['set', 'happiness', 'indicator', 'thank']",positive
"['life', 'love', 'depression']",positive
"['happy', 'hermit', 'anxiety']",positive
"['separation', 'family', 'added', 'another', 'layer', 'stress', 'pandemic']",negative
"['cannot', 'stress', 'enough', 'importance', 'quote', 'within', 'current', 'climate', 'hysteria']",negative
"['support', 'people', 'economic', 'distress', 'due', 'insurance', 'plan', 'big']",negative
"['advised', 'us', 'first', 'survey', 'touchstone', 'mental', 'distress', 'raising', 'around']",negative
"['teach', 'us', 'mental', 'health', 'isolation', 'walrus', 'stress', 'isolation']",negative
"['legacy', 'well', 'taken', 'care', 'exposure', 'affected', 'stress', 'minuscule']",positive
"['working', 'home', 'dont', 'outlet', 'talking', 'staff', 'destress', 'sai']",neutral
"['community', 'transmission', 'business', 'usual', 'anxiety', 'high', 'gather']",negative
"['first', 'official', 'teacher', 'workday', 'today', 'nut', 'stress', 'weve', 'got']",negative
"['cancer', 'depression', 'dementia', 'health', 'vagus', 'nerve']",negative
"['dogs', 'pet', 'video', 'unsung', 'anyone', 'anxiety']",negative
"['depression', 'mental', 'health', 'spike', 'suicide', 'ideation', 'amid']",negative
"['interesting', 'article', 'regarding', 'employee', 'anxiety', 'help', 'manage', 'stress', 'move', 'next', 'stage']",positive
"['fake', 'stop', 'trying', 'cause', 'depression', 'anxiety', 'people', 'sad', 'disgusting']",negative
"['never', 'told', 'anxiety']",positive
"['may', 'prosperous', 'year', 'ahead', 'full', 'hope', 'happiness', 'happy', 'new', 'year', 'everybody', 'stay', 'healthy']",positive
"['fear', 'anxiety', 'disease', 'devastating', 'cause', 'sharp', 'particularly', 'uncertain', 'times']",negative
"['always', 'open', 'click', 'link', 'known', 'help', 'aid', 'stress', 'anxiety']",negative
"['knew', 'stress', 'thats', 'already', 'high', 'around', 'time', 'school', 'year', 'could', 'rise', 'new', 'well']",negative
"['yet', 'another', 'stress', 'anxiety', 'rise', 'burden', 'weve', 'got', 'find']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['gourmet', 'junk', 'food', 'help', 'tame', 'anxiety', 'pressure']",negative
"['happiness', 'let', 'learn', 'achieve', 'life']",positive
"['still', 'relevant', 'today', 'testing', 'recession', 'depression']",negative
"['facing', 'extraordinary', 'stress', 'find']",negative
"['stress', 'pandemic', 'stress']",negative
"['human', 'craving', 'breath', 'fresh', 'air', 'walk', 'around', 'mall', 'without', 'anxiety']",positive
"['must', 'everything', 'country', 'stressful', 'united']",negative
"['know', 'stressful', 'times', 'upsetting', 'many', 'people', 'particular']",negative
"['medical', 'refuse', 'allow', 'family', 'inside', 'facility', 'stress']",negative
"['calling', 'vaccine', 'trial', 'time', 'anxiety', 'affected']",negative
"['six', 'young', 'ranging', 'anxiety', 'depression', 'attributable']",negative
"['significant', 'psychological', 'distress', 'amongst', 'working', 'context']",negative
"['influence', 'nursing', 'staff', 'working', 'stress', 'level', 'pandemic']",negative
"['share', 'wedding', 'saying', 'feel', 'additional', 'stress']",negative
"['week', 'pretty', 'stressful', 'weekend', 'mood', 'work', 'week']",neutral
"['stress', 'anxiety', 'would', 'like', 'speak', 'someone', 'listen', 'yo']",negative
"['new', 'single', 'social', 'distance', 'deal', 'stress', 'writing']",negative
"['overwhelming', 'possibility', 'cause', 'stress', 'feel', 'use', 'fact']",negative
"['health', 'would', 'like', 'invite', 'stress', 'building', 'resilience']",positive
"['health', 'would', 'like', 'invite', 'stress', 'building', 'resilience']",positive
"['blueprint', 'leadership', 'burnout', 'moral', 'distress', 'among', 'nursing']",negative
"['emotional', 'stress', 'may', 'lead', 'smaller', 'born']",negative
"['motive', 'happiness', 'diet', 'tough', 'times']",positive
"['young', 'people', 'avoid', 'depression']",negative
"['could', 'talk', 'depression', 'anxiety']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['seeing', 'lot', 'mood', 'depression', 'psychiatric']",negative
"['think', 'family', 'vulnerable', 'high', 'risk', 'cannot', 'stress', 'enough', 'one']",negative
"['feel', 'seen', 'ongoing', 'stress', 'raging', 'pandemic', 'physical']",negative
"['midst', 'use', 'help', 'cope', 'anxiety', 'stress']",negative
"['listening', 'depression', 'people', 'w', 'arthritis']",negative
"['closed', 'stress', 'increase', 'risk', 'abuse', 'neglect']",negative
"['alarming', 'devastating', 'facing', 'right', 'depression']",negative
"['anxiety', 'anxiety']",negative
"['know', 'survive', 'pandemic', 'youve', 'survive', 'depression', 'right']",negative
"['stress', 'eater', 'eating', 'stress', 'food']",negative
"['look', 'page', 'read', 'top', 'help', 'mask', 'anxiety', 'weve', 'also', 'got', 'discount']",positive
"['navigate', 'together', 'new', 'normal', 'stress', 'overwhelming', 'travel', 'business']",negative
"['end', 'sight', 'stress', 'taking', 'mental', 'toll', 'work']",negative
"['increasing', 'stress', 'strain', 'sense', 'school', 'food']",negative
"['help', 'manage', 'stress']",neutral
"['brought', 'unprecedented', 'stress', 'society', 'large', 'perhaps']",negative
"['due', 'return', 'school', 'days', 'stressful', 'enough', 'time', 'young']",negative
"['common', 'issue', 'depression', 'anxiety', 'last']",negative
"['hurricane', 'season', 'stressful', 'even', 'pandemic', 'worry', 'learn', 'plan']",negative
"['thanks', 'honest', 'personal', 'message', 'stress', 'overwork']",positive
"['stress', 'normal', 'part', 'life', 'certain', 'healthy', 'however', 'stress', 'becomes']",negative
"['twice', 'many', 'depression', 'time', 'last', 'year']",negative
"['impact', 'depression', 'youth', 'topic', 'summer', 'school']",negative
"['many', 'living', 'stress', 'uncertainty', 'ever', 'many']",negative
"['going', 'add', 'additional', 'stress', 'difficult', 'flu', 'season']",negative
"['depression', 'doubled', 'pandemic', 'appalling', 'given', 'like']",negative
"['help', 'manage', 'stress', 'sh']",neutral
"['driving', 'dramatic', 'depression', 'anxiety', 'among', 'college', 'w', 'th']",negative
"['say', 'pandemic', 'stressful', 'would', 'dramatic', 'understatement']",negative
"['pandemic', 'turning', 'upside', 'urge', 'alert', 'anxiety', 'among', 'c']",positive
"['weve', 'hit', 'pandemic', 'wall', 'roughly', 'one', 'anxiety', 'disorder']",negative
"['try', 'understand', 'nature', 'business', 'stress', 'within', 'community', 'especially', 'comes']",negative
"['something', 'quite', 'right', 'society', 'come', 'consider', 'normal', 'depression']",negative
"['new', 'episode', 'tomorrow', 'talking', 'anxiety']",negative
"['stress', 'affecting', 'drinking', 'behaviour', 'differ', 'men', 'find']",negative
"['health', 'community', 'care', 'say', 'really', 'hard', 'anxiety']",positive
"['level', 'bring', 'back', 'excess', 'due', 'stress', 'malnutrition']",negative
"['sherlock', 'depression', 'allegedly', 'pandemic', 'depression']",negative
"['times', 'despair', 'little', 'happiness', 'keep', 'alive']",positive
"['times', 'stress', 'like', 'may', 'tempting', 'management', 'eliminate', 'maintenance', 'short']",negative
"['even', 'normal', 'times', 'new', 'school', 'year', 'starting', 'stressful', 'enough', 'hope', 'post', 'w']",negative
"['thankful', 'situation', 'stress']",positive
"['know', 'stressful', 'times', 'upsetting', 'many', 'people', 'particular']",negative
"['health', 'council', 'sa', 'expressed', 'sadness', 'increase', 'number', 'health', 'dying']",negative
"['health', 'council', 'sa', 'expressed', 'sadness', 'increase', 'number', 'health', 'dying']",negative
"['unusually', 'stressful', 'environment', 'large', 'number', 'people', 'around', 'world']",negative
"['due', 'flood', 'many', 'living', 'stress', 'postpone', 'neet']",negative
"['true', 'anxiety', 'big', 'part', 'window', 'ta']",positive
"['health', 'care', 'really', 'wealth', 'care', 'know', 'happiness', 'health', 'wealth', 'wellness', 'diabetic']",positive
"['play', 'dogs', 'dont', 'one', 'get', 'one', 'get', 'threw', 'stress', 'yo']",negative
"['new', 'study', 'found', 'depression', 'doubled', 'pandemic', 'almost', 'said']",negative
['destress'],neutral
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['new', 'office', 'national', 'statistics', 'ons', 'suggest', 'number', 'dealing', 'depression']",negative
"['offering', 'unusual', 'way', 'destress', 'amid', 'pandemic', 'group', 'offering', 'put', 'people']",neutral
"['amma', 'happiness', 'received', 'welfare', 'pension', 'another', 'received', 'lea']",positive
"['sadness', 'hear', 'veteran', 'freedom', 'fighter', 'diplomat']",positive
"['watch', 'watch', 'funny', 'movie', 'listen', 'uplifting', 'music', 'dont', 'stay', 'sadness', 'long']",positive
"['hope', 'lord', 'everyone', 'life', 'infinite', 'happiness', 'remove']",positive
"['chest', 'pain', 'anxiety', 'visit']",negative
"['led', 'anxiety', 'around', 'supporting', 'care', 'needs', 'assure', 'every', 'measure', 'taken', 'keep']",positive
"['happiness', 'business', 'happiness']",positive
"['first', 'school', 'anxiety', 'dream', 'middle', 'morning', 'going', 'well', 'realize', 'one', 'w']",positive
"['subconscious', 'mind', 'basic', 'oh', 'naked', 'anxiety', 'dream', 'last', 'night', 'dreamt', 'turned']",positive
"['anything', 'positive', 'twitter', 'past', 'like', 'constant', 'loop', 'depression', 'anger']",negative
"['getting', 'sick', 'covid', 'pandemic', 'extremely', 'stressful', 'havent', 'felt', 'sick']",negative
"['filled', 'depression', 'country', 'recession', 'leave', 'one', 'doubt']",negative
"['anxiety', 'last', 'one', 'couple', 'ago']",negative
"['anxiety', 'depression']",negative
"['may', 'lord', 'give', 'happiness']",positive
"['suffer', 'mental', 'stress', 'fatigue', 'fight', 'clap']",negative
"['manage', 'stress', 'pandemic', 'healthy', 'diet', 'regularly', 'getting']",neutral
"['manage', 'stress', 'pandemic', 'healthy', 'diet', 'regularly', 'getting']",neutral
"['antimasker', 'anxiety', 'attack', 'wear', 'mask']",negative
"['may', 'power', 'deva', 'shree', 'destroy', 'enhance', 'happiness', 'create', 'goodness', 'around']",positive
"['cope', 'stress', 'crisis', 'recent', 'times', 'aware', 'impact']",negative
"['may', 'lord', 'bless', 'treasure', 'health', 'wealth', 'happiness', 'happy']",positive
"['may', 'lord', 'bestow', 'happiness', 'wisdom', 'good', 'health', 'prosperity', 'happy']",positive
"['make', 'event', 'talk', 'necessary', 'reduce', 'stress']",negative
"['anxiety', 'depression', 'due', 'alone', 'number', 'people']",negative
"['may', 'arrival', 'bring', 'wave', 'happiness', 'health', 'happy']",positive
"['may', 'lord', 'bless', 'family', 'happiness', 'may', 'continue', 'protector', 'happy']",positive
"['birthday', 'time', 'add', 'good', 'happiness', 'success', 'adventure', 'subtract', 'age', 'wha']",positive
"['full', 'time', 'job', 'full', 'time', 'college', 'clinical', 'depression', 'w', 'life', 'truth', 'college']",negative
"['deal', 'second', 'wave', 'anxiety', 'according', 'via']",negative
"['poll', 'back', 'school', 'time', 'soon', 'well', 'usual', 'excitement', 'anxiety', 'added', 'concern']",positive
"['journalism', 'malpractice', 'anxiety', 'work', 'conspiracy', 'throw']",negative
"['depression', 'indigenous', 'youth']",negative
"['happiness', 'good', 'health', 'prosperity', 'auspicious', 'occasion', 'may', 'world', 'bless']",positive
"['occasion', 'wish', 'lord', 'home', 'full', 'happiness', 'prosperity']",positive
"['may', 'bring', 'peace', 'happiness', 'upon', 'us', 'give', 'us', 'strength', 'fight', 'pandemic']",positive
"['list', 'everyday', 'depression', 'anxiety']",negative
"['year', 'end', 'suffering', 'wont', 'end', 'sadness', 'frustration', 'exhaustion', 'wont', 'end']",negative
"['report', 'extremely', 'stress']",negative
