text,ground_truth,predicted
shocking moment tropical storm hanna us border wall,hope,negative
child running shutdown want money,sad,negative
stage call outside home postmaster general trump republican,sad,negative
trying find information quarantine cant quarantine normally live,sad,negative
china take concrete uphold support,sad,negative
told get bike get fit government definitive link obesity,hope,negative
catastrophic handling start partly blame financial crisis,sad,negative
academic government closed due,sad,negative
still prison covid positive,sad,negative
like worry pathos growing,sad,negative
homemade face line free people take south,sad,negative
trying understand testing access expanded testing list,sad,negative
join us recession together,happy,negative
full last week walking degree weather exhausting hard find,hope,negative
unit despite nitrile latex pickup,happy,negative
small use cause marketing build brand amin director pinnacle,hope,negative
local city confirmed country,sad,negative
anniversary want us push ca high,happy,negative
hi conversation sure compile last tweet retrieve entirely,hope,neutral
projection confirmed yesterday horizontal axis sequent,sad,negative
well well well coverage incentive pay extra insurance,hope,negative
rest look like tod white talk election season,sad,negative
new last total number,sad,positive
much worse thought health,sad,negative
today everyone respecting mask change,happy,negative
lack hurting response still wit,sad,negative
total least among nursing home,happy,negative
two one new case according ministry health press,sad,positive
werent werent vent didnt die ongoing,sad,negative
people dont wear,sad,negative
thriving pandemic needle organizational health via,sad,negative
finally nature made us realize value away times times come,sad,negative
part stay safe check part,happy,negative
corona covid virus quarantine,happy,negative
pandemic much last week number new daily,sad,positive
give month dumb come implore people take,sad,negative
thank reference wet market,hope,negative
global professional research report analysis led fog lamp market,sad,negative
corona times major relive middle class strata hit hard economic,sad,negative
letter editor allan smith controversial face think,sad,negative
working towards covid safe football environment,happy,negative
live one nine still authorized voting da,sad,negative
new normal honest mistake select maybe plate issuing h,sad,positive
medical operate much like pediatrician office except specifically cater,sad,negative
chief business officer young spoke energy commerce committee yesterday update,sad,negative
written article effects thought provoking,happy,negative
dangerous server kind food,sad,negative
last session series take place stay tuned,happy,negative
housing eviction thing result may nationally change way deal,happy,negative
us well ways insure ethnic homeless poor th,hope,negative
musical artist language vote video,hope,negative
slap face rise read mor,sad,negative
tune tomorrow pst open panel discussion business side,hope,negative
top everything teacher probably art make,happy,negative
one generous community local tremendously,sad,negative
united weak humanitarian conflict make vulnerable,happy,negative
yep older infect risk serious sigh,sad,negative
yeah kind chaos take us treasury fail manufacture enough,sad,negative
dont enough government really people would normal sa,sad,negative
hi interested whats happening f,hope,negative
however believe oxygen oxygenation highly useful condition respirator,sad,negative
dont care open club cabaret thick,sad,negative
cabinet hold virtual meeting today,happy,negative
day mortality rate still one best health care,happy,negative
corona corona comparison whether,happy,negative
part part collective care,sad,negative
backlog county daily release data,sad,negative
received ventilator recognition well done team vital,hope,negative
house price indicator august se housing property residential,sad,negative
dont believe government right continue,sad,negative
watch arjun neurosurgery talk hospital safety,sad,negative
extensive spread population growing tired society,sad,negative
many concerned serious negative impact economy,sad,negative
leaving phone wallet handbag,sad,negative
thread decide vote mail apply ur county check return ur,sad,negative
whatever form reopen must first tend social emotional needs focus less,happy,negative
collected streets bolivia since majority linked result,sad,negative
whilst difficult time keep safe support,happy,negative
live care home testing pledge abandoned death toll via,sad,negative
third wave city another death,sad,negative
well lot free time dealing,sad,negative
highest spike fresh total number goes,sad,negative
never cease amaze us investigative health care,sad,negative
national crime agency document potential fraud criminal linked,happy,negative
us population million us working population million,hope,negative
new analytical tool combat future,happy,positive
pandemic environmental awareness manager,sad,negative
year department health suspended expiration,happy,negative
going complicated season beginning,hope,negative
saying within person spread great,sad,negative
terrifying watch ponder next us,hope,negative
vaccine likely wont stop getting sick reduce severity illness excellent,hope,negative
new positive last quarantine local,happy,positive
new cartoon heck next,happy,positive
pi new digital currency million jo,happy,positive
thanks dad sons opening day start,happy,negative
may necessarily want exercise face mask working,happy,negative
supreme court take prevent child amid pandemic,sad,negative
wasnt also prepared,happy,negative
abandon classes one ope,sad,negative
guidance memorandum authorized relative,hope,negative
push back yielding quality august news management,sad,negative
china virus world fair china,sad,negative
connected register training get certificate safely,hope,negative
difficult market terror someone u know struggling h,hope,negative
idea governor new jersey block party,happy,positive
dashboard august total total new ca,happy,positive
study found incoming direct link,hope,negative
awesome moving forward yet getting nowhere rise pandemic,sad,negative
mourn loss brother away today age though,sad,negative
news infectious disease clinical machine learning artificial intelligence test,sad,negative
containment increasing food insecurity see,sad,negative
decide knowing someone truthfully self,sad,negative
snap election deadly seen,sad,negative
year good year get flu year also raging especially bad continue,hope,neutral
meet team behind map used,happy,negative
village health critical fight health refresher,happy,negative
south moving alert level,sad,negative
today join us pandemic panel learned trainer apply,happy,negative
spike positive last total positive,sad,negative
key already need start,sad,negative
registration annual meeting open state department discuss,sad,negative
kelly victory trauma emergency physician everything need know dont h,sad,negative
best vaccine covid beef everyday,hope,negative
singh admitted hospital advice doc,sad,negative
multiple restaurant tested positive last week,happy,negative
us thinking new normal need carry us,happy,positive
stealing dad,happy,negative
woman sa quarantine hotel positive,happy,negative
following pandemic quick reminder maintain di,sad,negative
people corona today total corona virus source situation,sad,negative
new normal sports orange red week county red,happy,positive
also work dig hole lay flat back stop breathing,happy,negative
complete hygiene kit ready go cart every weapon,sad,negative
people dying across globe mourning cant even memoria,sad,negative
every person debating giving extra make pandemic,sad,negative
term whole new meaning,happy,positive
pandemic archive artist art photography photographer,sad,negative
vitamin significantly help every virus go death,sad,negative
charge man fraud covid relief funds,sad,negative
severely around world development,sad,negative
really didnt stupid covid bingo card,sad,negative
flu increasing access demand set grow even use,sad,negative
great point pill could reduce likelihood,sad,negative
rise less fatality rate,sad,negative
healthy coping isolation stay contact family reach regularly,happy,negative
grade classes begin today reopen,happy,negative
want know leading medical laboratory official,sad,negative
development bank million grant response gambia sier,sad,negative
happening making millions pandemic spreading big,sad,negative
outbreak continue curriculum via classes really,sad,negative
covid automatically get extra mot didnt know mot,hope,negative
look back return pandemic baseball,sad,negative
alert saliva test less second trial phase global pandemic ne,sad,negative
dont want one end sooner please maintain,sad,negative
spending cell remand guilty man government shou,sad,negative
latest press coverage stay safe,happy,negative
county update data total,sad,negative
win time open stop wearing,sad,negative
update wash soap running water,sad,negative
high initially inexperienced high office hunt right choice run balanced,sad,negative
survey true along staff shortage worried getting,sad,negative
want join next campaign,hope,negative
unsure claim might help phone us,hope,negative
good morning good please remember take wear mask,happy,neutral
wait say wont go away say vaccine wont available several mi,sad,negative
life resell get good profit inspection,happy,neutral
announce running first week august,happy,negative
long cannot go want screw ba,sad,negative
idea covid vaccine safe effective,hope,negative
media persist indulging goes stupid photo stodgily,sad,negative
many working home due weve made course understand access,sad,negative
entire world pandemic new cycling competition,sad,positive
realize mother enemy progress ever,sad,negative
dont speak virus theyll say,sad,negative
revenue minister awareness vehicle link,sad,negative
interesting see infection wee,sad,negative
respect activity scouse humour,sad,negative
tally new death toll,sad,positive
built environment mitigate exposure statement,hope,negative
globally growing consensus humanitarian response needs locally rooted,sad,negative
case study psychological contract follow latest news world,sad,negative
today case class rapid testing may ask k,happy,negative
take look revelation ai based singh,sad,negative
nation please wrap soon,sad,negative
everything difficult difficult achieve real time test result point,sad,negative
easy adjunct aid phone clinic telephone clinic,happy,negative
least three fire broke hotel turned care,sad,negative
also decided return health staff respond,happy,negative
sell also artist,happy,negative
hospital capacity additional observer,sad,negative
complete description read know,sad,negative
pandemic meant risk job wage many,sad,negative
new canada doesnt work,happy,positive
stay safe take care health covid safe isolate protect,happy,negative
embracing digital workplace age via,happy,negative
corona crisis update corona,sad,negative
strange world free entering contract year pandemic via,sad,negative
excellent partnership prevent thank sharps,hope,negative
know way leaning popcorn movie,sad,negative
looking like new post,sad,positive
youve may still physical breathlessness cough lack energy,happy,negative
stick neck predict wont single news story new york times,sad,positive
classification analysis protein homology elucidation associated protein f,hope,negative
international youth around take lead take action fight p,happy,negative
heating read manage help hot weather whilst,sad,negative
surprising latest commerce survey,sad,negative
live dumb say eminent threat,sad,negative
anyone thought stop ask major covid,sad,negative
year old allowance increase uncle stand waiting,happy,negative
er global economic hit experiment er,sad,negative
used likely infected remember,sad,negative
affected ability keep might able help,happy,negative
shiv community health worker volunteer eight,sad,negative
surgery self isolate test,happy,negative
still talking bout corona us joe potato head kick,sad,negative
launch deb eagle importance collaboration,sad,negative
great still mountain climb news police turn away car,sad,negative
great shah negative god bless sir,happy,negative
staff making known,hope,negative
hello back special event beloved south east share,happy,negative
elementary principal new salt lake tribune,happy,positive
showing reason believe youve exposed virus getting te,sad,negative
work going bridge bet despite outbreak heavy rain rainy,happy,negative
socialism works rich racist plenty support tha,hope,negative
democrat sheep go choke useless mask rest us dont blindly follow get back,sad,negative
beginning series face must protect environment,happy,negative
received attention result crisis beginning,sad,negative
trump guess thats trump wont tell anyone took dementia,sad,negative
another case st area flight quite clear still spreading,sad,negative
would like seen death like us mother father sib,sad,negative
status ist two new wit,happy,positive
oh cant get back normal virus properly,sad,negative
phase human vaccine begin,hope,negative
medical told us reduce p,happy,negative
bit like play football,sad,negative
prepared though far bigger left right politically mess good long ti,sad,neutral
mayor capital suffering three,sad,negative
hey find garbage person customer told woman,hope,negative
need best developer project contact,hope,negative
last long time get used brain thinking finding,hope,negative
compare declared spread global emergency date,sad,negative
yale epidemiologist letter white house pandemic,sad,negative
sacred heart college student school,happy,negative
great article dont part public health,sad,negative
part academic life mine understanding worth,happy,negative
many sized trouble already outbreak,sad,negative
low key independence day amid,happy,negative
absence streamlined national plan left chart,happy,negative
hit hard novel yesterday registered record high number new,sad,positive
vaccine come also theres chance end,hope,negative
courtesy rule awkward rude covid still awkward rude please wear,sad,negative
push trade war war escalate full conflict wit,hope,negative
new dye ideal industry especially,happy,positive
received saying still looking complaint blaming,sad,negative
add us clash handmade,hope,negative
cool maybe worry getting back school first worry curriculum,happy,negative
crisis hit small hard many stimulus,sad,negative
get go theres rise covid,hope,negative
come along share pray suffering c,sad,negative
chief theres perverse economic incentive inflate art,happy,negative
michigan testing data august positive average positive,hope,negative
vaccine front k medical emergency,hope,negative
solely wouldnt sending back school still around,happy,negative
lot support available government struggling,sad,negative
