words,user_location
"['hope', 'pandemic', 'fast']",
"['giving', 'hope', 'world']",Thika
['hope'],"Thalassery, India"
"['hope', 'die']","36.0395° N, 114.9817° W"
"['hope', 'work', 'morning']",South Africa
"['hey', 'think', 'hope']",Somewhere
"['result', 'hope', 'government']",
"['hope', 'us', 'wi']",
"['hope', 'vaccine', 'works']",
"['sorry', 'brother', 'hope']","Kansas, USA"
"['denial', 'admit', 'hope']",
"['hope', 'despite', 'rising']",Morocco
"['hope', 'come']","Newcastle Upon Tyne, England"
"['hope', 'best', 'real']","Bogotá, Colombia"
"['finally', 'hope', 'ai']",
"['last', 'antigen', 'hope']",BHUBANESWAR
"['last', 'antigen', 'hope']",BHUBANESWAR
"['last', 'antigen', 'hope']",BHUBANESWAR
"['hope', 'testing', 'ride']",New Mexico
"['wild', 'hope', 'pence']",
"['hope', 'catch', 'sympathy']","West Midlands, England"
"['violence', 'hope', 'get']",
"['government', 'peak', 'hope']","Wigston, Leicester"
"['hope', 'take', 'note', 'warning']","Washington, DC"
"['incredible', 'hope', 'generosity', 'join']",Australia
"['sphere', 'response', 'hope', 'many']",Japan
"['wish', 'ill', 'upon', 'hope']","Mumbai, India"
"['flu', 'hope', 'many', 'possible']","Dubai, DC, London, Zanzibar"
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'also', 'miraculous', 'provided']","Bengaluru, India"
"['hope', 'theyre', 'accurate', 'current']",
"['hi', 'hope', 'well', 'state']",.
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'everyone', 'great', 'weekend']","Fort Worth, TX"
"['wonderful', 'see', 'hope', 'start']",
"['real', 'talk', 'topic', 'hope']",₩ØⱤⱠĐ₩łĐɆ
"['hope', 'caught', 'sorry', 'saying']","Philadelphia, PA."
"['regional', 'tourism', 'say', 'hope']","Bridgetown, Barbados"
"['hope', 'august', 'season', 'finale']",Nigeria
"['hope', 'dont', 'infected', 'w']",#StGeorge~#StatenIsland~#NYC
"['oh', 'hope', 'didnt', 'catch']","St. Louis metro area MO, USA"
"['hope', 'kindness', 'get', 'proper']","Mumbai, India"
"['hi', 'hope', 'product', 'interest']",
"['hope', 'paying', 'attention', 'awesome']",
"['really', 'hope', 'true', 'testing']",Russia
"['positive', 'hope', 'wear', 'mask']",
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'voting', 'struggling', 'f']",Helsinki
"['thought', 'day', 'hope', 'fearful']","Franklin, TN"
"['peace', 'hope', 'world', 'trump']","Georgia, USA"
"['hope', 'involved', 'received', 'unnecessarily']",Somewhere
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'doesnt', 'get', 'traveling']",America 
"['ray', 'hope', 'vaccine']",Hyderabad
"['great', 'morning', 'hope', 'works']",Wonderland 
"['hope', 'keep', 'new', 'normal']",WI
['hope'],United Kingdom
"['youth', 'beacon', 'hope', 'instrumental']",Kenya
"['light', 'darkness', 'hope', 'strength']",
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'finally', 'part', 'vaccine']",  Fujairah
"['hope', 'storm', 'full', 'video']",Worldwide
"['oh', 'wow', 'hope', 'works']",west yorkshire
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'opportunity', 'support', 'plan']","Norfolk, England"
"['hope', 'electorate', 'dont', 'vote']",
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'catch', 'dumb', 'ass']"," Brooklyn, Sacramento, Vegas"
"['funds', 'allocation', 'hope', 'forget']",
"['yes', 'thank', 'hope', 'listening']","Winnipeg, Mb, Canada"
"['hope', 'storm', 'full', 'video']",Worldwide
"['world', 'development', 'hope', 'life']",Australia
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'storm', 'full', 'video']",Worldwide
"['rain', 'hope', 'enjoy', 'rain']",
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'potential', 'cure', 'read']",
"['glimmer', 'hope', 'championship', 'surely']",Dublin London Galway West Cork
"['hope', 'storm', 'full', 'video']",Worldwide
"['pandemic', 'hope', 'finally', 'realize']",United Kingdom
"['hope', 'youve', 'friend']",Nigeria
"['done', 'unified', 'country', 'hope']",
"['hope', 'storm', 'full', 'video']",Worldwide
"['private', 'band', 'hope', 'future']","Halifax, UK"
"['conduct', 'last', 'antigen', 'hope']",BHUBANESWAR
"['conduct', 'last', 'antigen', 'hope']",BHUBANESWAR
"['hope', 'storm', 'full', 'video']",Worldwide
"['die', 'hope', 'image', 'u']",
"['hope', 'storm', 'full', 'video']",Worldwide
"['hope', 'horse', 'didnt', 'catch']","Rapid City, SD"
"['hope', 'sec', 'start', 'season']","Harrison, AR"
"['well', 'done', 'hope']",| stockholm
"['collected', 'hope', 'go', 'without']",
"['hope', 'test']","Kampala, Uganda"
"['fourth', 'final', 'part', 'hope']","Newark-on-Trent, England"
"['hope', 'read', 'entire', 'thread', 'thank']",South Florida
"['busy', 'hope', 'since', 'trained', 'one']","Miami, Florida"
"['preprint', 'analysis', 'policy', 'hope', 'give']","Stockholm, Sweden"
"['hope', 'least']",
"['sparring', 'match', 'hope', 'proceeds']","Bloemfontein, South Africa"
"['hope', 'pandemic', 'commission', 'human', 'concerned']",Philippines
"['important', 'message', 'people', 'hope', 'everyone']",Jammu
"['june', 'training', 'thats', 'criminal', 'hope']",North Carolina
"['finally', 'optimism', 'decisive', 'hope', 'take']","Atlanta, GA"
"['together', 'hope', 'around', 'world', 'continue']","Lagos, Nigeria"
"['hope', 'see', 'carl', 'director', 'impact']",Afghanistan & Bangladesh 
"['piercing', 'beautiful', 'blue', 'hope', 'heal']",Mitten state 
"['job', 'hope', 'keeping', 'economy', 'going']",
"['hope', 'leave', 'right', 'endanger']",NSW Australia
"['well', 'hope', 'sake', 'sake', 'honest']","Pennsylvania, USA"
"['incoherent', 'nonsense', 'really', 'hope', 'charge']",日本 東京
"['thank', 'abigail', 'hope', 'prevail', 'protect']",
"['said', 'hope', 'president', 'later', 'universal']","Makati, Philippines"
"['hope', 'jail', 'cell', 'soon', 'covid']","America, F Yeah!"
"['spread', 'love', 'hope', 'unity', 'change']",
"['hope', 'get', 'laid', 'plan', 'handling']",Philippines
"['hope', 'niece', 'turns', 'leave', 'money']",British Columbia
"['excited', 'sure', 'hope', 'hope', 'get']","San Antonio, TX"
"['wife', 'older', 'thanks', 'hope', 'keep']","Sunshine Coast, Queensland"
"['hope', 'big', 'capitalism', 'expense', 'lost']","Colorado, USA"
"['struck', 'treatment', 'would', 'hope', 'figure']",Victoria BC
"['leading', 'vaccine', 'hope']","Bhubaneshwar, India"
"['sorry', 'really', 'hope', 'likewise', 'come']",Austin
"['claim', 'real', 'say', 'hope', 'r']","Vancouver, Canada"
"['hope', 'right', 'made', 'coming', 'country']","Charlotte, NC"
"['hope', 'doesnt', 'get', 'prison']",United States
"['people', 'opportunity', 'make', 'money', 'hope']","Pretoria, South Africa Erasmia"
"['corona', 'end', 'stop', 'open', 'hope']",
"['really', 'surprise', 'trash', 'got', 'hope']",Texas
"['losing', 'hope', 'business', 'follow', 'trader']","San Jose, CA"
"['hope', 'death', 'vain', 'real', 'threat']","Newark, NJ"
"['hope', 'decision', 'take', 'responsibility', 'theyre']","Ontario, Canada"
"['hope', 'number', 'people', 'gotten', 'contact']",Arizona
"['lance', 'hope', 'listening', 'tell', 'wear']","Little Rock, AR"
"['hope', 'die', 'vane', 'wear', 'mask']",
"['new', 'circa', 'hope', 'everyone', 'safe']",
"['thank', 'support', 'hope', 'continue', 'donate']","Chandler, AZ"
"['black', 'matter', 'food', 'ubi', 'hope']",Planet Earth
"['pretty', 'cool', 'hope', 'planet', 'heal']",Milan-Italy
"['hope', 'bike', 'charity', 'bike', 'ride']",London and South
"['dear', 'hope', 'safe', 'healthy', 'thanks']",
"['large', 'middle', 'east', 'less', 'hope']","Seattle, WA"
"['someday', 'hope', 'able', 'conquer', 'plateau']","Clinton, OK"
"['already', 'hope', 'get', 'medical', 'treatment']","California, USA"
"['could', 'offer', 'hope', 'way', 'pandemic']",
"['good', 'world', 'hope', 'strength', 'faith']",
"['welcome', 'club', 'sympathize', 'condition', 'hope']","San Mateo, CA"
"['hope', 'could', 'cool', 'guy', 'made']",Close enough !
"['hope', 'keep', 'getting', 'poor', 'family']","Panama City Beach, FL"
"['thanks', 'joining', 'us', 'hope', 'help']",Johannesburg
"['hope', 'community', 'importance', 'clean', 'healthy']",
"['times', 'message', 'positivity', 'hope', 'f']",Mumbai
"['breaking', 'vaccine', 'study', 'hope', 'th']",United States
"['vote', 'trump', 'hope', 'get', 'dog']","Del City, OK"
"['perhaps', 'good', 'coming', 'virus', 'hope']",
"['living', 'hope', 'sickly', 'satirical', 'yo']",I wish I knew
"['hope', 'fear', 'people', 'crisis', 'want']","York, England"
"['hope', 'streets', 'russia', 'justice', 'food']",Planet Earth
"['hope', 'sides', 'resee', 'commentary', 'loading']",
"['hope', 'troubling', 'times', 'magic', 'hemp']",
"['odds', 'meet', 'remarkable', 'born', 'hope']","Fleet, England"
"['squeezing', 'motivation', 'national', 'hope', 'swaggering']",Nairobi
"['hope', 'attendance', 'lamp', 'lighting', 'ceremony']",
"['hope', 'attend', 'instead', 'avoidable', 'sh']",
"['negative', 'hope', 'wont', 'time']",ZA | KN | CMR📍
"['congratulate', 'russia', 'team', 'gave', 'hope']","Noida, Uttar Pradesh"
"['hope', 'find', 'article', 'helpful', 'covid']","Wales, United Kingdom"
"['hope', 'find', 'article', 'helpful', 'covid']",united kingdom
"['hope', 'enjoy', 'next', 'big', 'world']",
"['hope', 'many', 'believe', 'death', 'covid']",GTA Ontario Canada
"['really', 'hope', 'lupus', 'covid']",London
"['money', 'cripple', 'us', 'hope', 'recession']",
"['one', 'left', 'without', 'hope', 'opportunity']",
"['hope', 'world', 'able', 'find', 'valuable']",London
"['sure', 'hope', 'blunt', 'state', 'safe']",Greater Vancouver
"['love', 'poem', 'pandemic', 'hope', 'poetry']","California, USA"
"['beautiful', 'group', 'giving', 'hope', 'support']",Leeds 
"['hope', 'amount', 'used', 'generate', 'redundant']","Toronto, Ontario"
"['hope', 'footage', 'chanting', 'singing', 'pack']",
"['dont', 'lose', 'hope', 'left', 'times']",The Death Star
"['hope', 'today', 'update', 'share', 'positive']",
"['premier', 'hope', 'full', 'transparency', 'since']","Canberra, Australia"
"['research', 'team', 'report', 'hope', 'making']",Global Nonprofit
"['hope', 'pray', 'arent', 'social', 'gathering']",Avalon 
"['go', 'death', 'beloved', 'grandmother', 'hope']","Chicago, IL"
"['hope', 'help', 'people', 'properly']","Leiden, The Netherlands"
"['watch', 'go', 'change', 'hope', 'seen']","Hudson Valley, New York, USA"
"['help', 'hope', 'keeping', 'well', 'yo']","Louth, Ireland"
"['hope', 'theres', 'rethink', 'latest', 'evidence']","London, UK"
"['hey', 'hope', 'keep', 'lower', 'us']",The Moon
"['hope', 'lose', 'ya', 'know', 'thing']",
"['best', 'hope', 'enough', 'vaccine', 'comes']","Benares, भारत"
"['hope', 'enjoy', 'part', 'panel', 'discussion']",
"['hope', 'gateway', 'update', 'tue', 'via']","Philadelphia, PA"
"['hope', 'remember', 'horrible', 'trump']","Florida, USA"
"['decided', 'drop', 'video', 'hope', 'enjoy']","Johannesburg, South Africa"
"['theres', 'hope', 'theres', 'light', 'risk']","roorkee, india "
"['comic', 'hope', 'charge', 'double', 'triple']",Texas
"['like', 'hope', 'also', 'make', 'series']","ÜT: 15.068617, 120.945815"
"['island', 'hope', 'doesnt', 'get', 'hand']",
"['big', 'spread', 'begin', 'hope', 'like']",
"['holding', 'hope', 'revitalize', 'culture', 'tourism']","Beijing, CHINA"
"['surat', 'delighted', 'hear', 'experience', 'hope']",
"['hope', 'finish', 'pandemic', 'wave', 'organization']",India
"['hope', 'may', 'herd', 'immunity', 'imp']",New Delhi & Thiruvananthapuram
"['course', 'really', 'hope', 'good']","Milton Keynes, England"
"['better', 'hope', 'state', 'never', 'go']",Evergreen State
"['hope', 'medical', 'staff', 'infected', 'people']","Boston, MA"
"['hope', 'security', 'staff', 'coverage', 'insurance']","Milan, italy"
"['hope', 'get', 'bitch']",
"['herd', 'immunity', 'may', 'best', 'hope']","Virginia, United States"
"['university', 'vent', 'respirator', 'hope', 'save']",
"['hope', 'trump', 'doesnt', 'pronounce', 'mistake']",Arroyo Grande / Pismo Beach
"['hope', 'catch', 'take', 'away', 'away']",United States
"['new', 'post', 'viral', 'hope', 'hope']",Earth
"['decrease', 'la', 'county', 'hope', 'keep']","Los Angeles, CA"
"['hope', 'also', 'considered', 'wearing', 'useless']",
"['hope', 'trump', 'premium', 'stock', 'postmaster', 'w']",#StGeorge~#StatenIsland~#NYC
"['mask', 'butterfly', 'symbolize', 'hope', 'dark', 'time']",Durban
"['home', 'starting', 'place', 'love', 'hope', 'blessed']",Melbourne (Australia)
"['school', 'officially', 'hope', 'safety', 'decided', 'di']","Italia Verona, Mantova"
"['great', 'sadness', 'read', 'hope', 'offer', 'b']","Solihull, England"
"['discriminate', 'spread', 'hope', 'love', 'virus']",Kakinada
"['orchid', 'wish', 'spread', 'hope', 'orchid', 'reconstruction']","Tokyo, Japan"
"['hope', 'best', 'indoor', 'tough', 'times', 'like']","Coonabarabran, New South Wales"
"['could', 'wrong', 'hope', 'addition', 'violence', 'government']",Earth
"['hope', 'millions', 'lost', 'health', 'insurance', 'pharmaceutical']",United States
"['hope', 'every', 'state', 'like', 'handle', 'especially']","Bengaluru, India"
"['important', 'defense', 'finding', 'hope', 'scientific', 'evidence']",Earth
"['indigenous', 'hit', 'art', 'offer', 'ray', 'hope']","Brisbane, Queensland"
"['hope', 'reading', 'many', 'smaller', 'right', 'bigger']",Washington state
"['guest', 'honor', 'food', 'thought', 'hope', 'post']",Middle East
"['hope', 'new', 'daily', 'bulletin', 'format', 'kudos']",
"['hope', 'something', 'done', 'help', 'homeless', 'force']","Charlotte, NC"
"['need', 'inform', 'make', 'harm', 'best', 'hope']","Melbourne, Victoria"
"['whatever', 'last', 'shred', 'hope', 'party', 'dead']","Atlanta, GA"
"['enjoy', 'rota', 'take', 'hope', 'get', 'break']","North Wales, Essaouira, World"
"['hope', 'safe', 'thats', 'hacker', 'ring', 'costly']","Foster City, CA"
"['really', 'hope', 'like', 'become', 'part', 'post']",Melbourne
"['message', 'hope', 'people', 'around', 'world', 'suffering']","Kuala Lumpur, Malaysia"
"['hello', 'trust', 'hope', 'well', 'trying', 'times']",Zimbabwe | Africa
"['read', 'get', 'sense', 'hope', 'slowly', 'lost']",Nairobi
"['another', 'little', 'flu', 'hope', 'get', 'soon']",Bli Bli Qld Australia
"['singer', 'seven', 'record', 'song', 'hope', 'covid']","Petaling Jaya, Malaysia"
"['wear', 'capes', 'well', 'beautiful', 'picture', 'hope']",Myanmar
"['hope', 'accountable', 'said', 'would', 'set', 'turned']","South Carolina, USA"
"['correct', 'still', 'yellow', 'zone', 'hope', 'one']",
"['national', 'day', 'celebrated', 'year', 'hope', 'raise']",Pacific
"['fascinating', 'thread', 'hope', 'given', 'last', 'al']",HTX
"['following', 'lead', 'horrific', 'mismanagement', 'hope', 'properly']",Rawai Phuket Thailand
"['reckless', 'selfish', 'hope', 'didnt', 'infect', 'fellow']",
"['six', 'millions', 'investment', 'clinical', 'giving', 'hope']",bucuresti
"['going', 'wrong', 'side', 'history', 'trump', 'hope']",
"['topic', 'vision', 'hope', 'beat', 'justice']",Johannesburg
"['part', 'campaign', 'hope', 'staff', 'heroic', 'work']",Southern Massachusetts
"['see', 'face', 'like', 'hope', 'safe']",
"['hope', 'arent', 'doesnt', 'need', 'huge', 'rise']",Londongrad 
"['bunch', 'ignorant', 'arrogant', 'night', 'hope', 'catch']",uk
"['oh', 'man', 'need', 'hope', 'change', 'trump']",beneath the sheets
"['always', 'good', 'first', 'hope', 'successful', 'soviet']",US/EU
"['going', 'need', 'one', 'hope', 'grief', 'deck']",United States
"['great', 'see', 'hope', 'able', 'watching', 'away']",
"['fine', 'analysis', 'worsening', 'spread', 'hope', 'pandemic']","New York, NY"
"['top', 'story', 'hope', 'storm', 'full', 'video']",worldwide
"['hope', 'coverage', 'therapy', 'needing', 'zinc', 'save']",Victoria BC
"['hope', 'keep', 'soon', 'space', 'still', 'r']",Outthere
"['really', 'hope', 'one', 'freeing', 'doesnt', 'give']",inthahood 
"['hope', 'finish', 'foot', 'social', 'distance', 'times']",
"['going', 'wipe', 'people', 'cant', 'much', 'hope']",Perth WA 
"['top', 'story', 'hope', 'storm', 'full', 'video']","Test Valley, Hampshire"
"['amidst', 'sadness', 'death', 'brought', 'excitement', 'hope']",
"['better', 'hope', 'may', 'even', 'bigger', 'ahead']",
"['well', 'certain', 'growing', 'spread', 'hope', 'might']",
"['promising', 'bring', 'hope', 'fall', 'lap', 'share']",
"['good', 'see', 'steady', 'decline', 'hope', 'direction']",Texas Hill Country
"['ko', 'hope', 'would', 'fine', 'journalist', 'channel']",Mumbai
"['never', 'lose', 'hope', 'world', 'cannot', 'hopeful']","Kolkata, West Bengal"
"['open', 'new', 'people', 'new', 'hope', 'strength']",
"['hope', 'would', 'one', 'hope', 'outcome', 'devious']",
"['vaccine', 'race', 'begin', 'human', 'testing', 'hope']","Niagara, Ontario, Canada"
"['fantastic', 'hope', 'daughter', 'wonderful', 'birthday', 'style']",Mayo Clinic
"['let', 'us', 'hope', 'second', 'wave', 'minor']",Milan-Italy
"['new', 'per', 'hope', 'peak', 'decline', 'th']","Aberdeen, Scotland, UK."
"['hope', 'protest', 'school', 'management', 'reverse', 'decision']",
"['hope', 'late', 'stem', 'tide', 'expressed', 'openness']",Lewiston NY near Niagara Falls
"['hope', 'sensible', 'libertarian', 'enact', 'anything', 'similar']",
"['hope', 'choose', 'get', 'treatment', 'get', 'sick']","Maryland, USA"
"['hope', 'choose', 'pay', 'medical', 'funeral', 'infect']","Palm Beach, FL God help me"
"['hope', 'beating', 'successful', 'elimination', 'transmission', 'new']","New Haven, CT"
"['find', 'hope', 'produce', 'unique', 'vaccine', 'japan']",Asia Pacific
"['six', 'millions', 'investment', 'clinical', 'giving', 'hope']",ประเทศไทย
"['alright', 'seem', 'map', 'hope', 'werent', 'afflicted']",
"['gale', 'serious', 'note', 'hope', 'well', 'soon']",
"['hope', 'receive', 'medical', 'help', 'sick', 'w']",USA
"['hope', 'someone', 'telling', 'many', 'unnecessarily', 'infected']","Kansas City, Missouri"
"['hope', 'virus', 'end', 'soon', 'lightroom']",
"['hope', 'bring', 'aircraft', 'help', 'us', 'fighting']","Srinagar, India"
"['top', 'story', 'hope', 'storm', 'full', 'video']",From My Global NYC Window! 
"['top', 'story', 'hope', 'storm', 'full', 'video']",London
"['initial', 'josh', 'given', 'hope', 'accepted', 'defeat']",
"['top', 'story', 'hope', 'storm', 'full', 'video']","Guayaquil, Ecuador"
"['hope', 'helpful', 'family', 'research', 'small', 'large']","London, England"
"['hope', 'vaccine', 'show', 'better', 'contain', 'spread']",
"['finally', 'breakthrough', 'fight', 'hope', 'beginning', 'end']","Chandigarh, India"
"['hope', 'wont', 'another', 'spike', 'hong', 'august']",Hong Kong
"['privately', 'yesterday', 'hope', 'best', 'today', 'lightning']",
"['always', 'year', 'aint', 'keep', 'hope', 'alive']","Massachusetts, USA"
"['give', 'nation', 'hope', 'amidst', 'pandemic', 'one']",
"['good', 'luck', 'everyone', 'today', 'hope', 'receive']","London, England"
"['time', 'laugh', 'hope', 'made', 'smile']",
"['learning', 'conversation', 'leadership', 'hope', 'compassion']",United Kingdom
"['benefit', 'dollar', 'weakness', 'glimpse', 'hope', 'recover']",London
"['fam', 'hope', 'heal', 'never', 'forgiveness']","Phalaborwa, South Africa"
"['matter', 'done', 'china', 'hope', 'epidemic', 'united']",
"['hope', 'thanks', 'partnership', 'joint', 'campaign', 'able']","82 Bree Street, Cape Town"
"['every', 'year', 'put', 'enough', 'year', 'hope']",Philippines
"['hope', 'everything', 'goes', 'well', 'thank', 'staff']",Nottingham\Islington\Ashford
"['appreciate', 'everyone', 'hope', 'everyone', 'safe', 'covid']",
"['hope', 'join', 'tomorrow', 'school', 'staff', 'administration']","Santa Clara, CA"
"['seriously', 'really', 'hope', 'give', 'holy', 'hell']",
"['like', 'might', 'widespread', 'issue', 'hope', 'progress']","Brisbane, Queensland"
"['hope', 'get', 'well', 'soon', 'exam', 'pandemic']","New Delhi, India"
"['good', 'hope', 'dont', 'see', 'approach', 'sustainable']",
"['excitement', 'pumpkin', 'announcement', 'hope', 'doesnt', 'end']","Johannesburg, South Africa"
"['love', 'mask', 'luke', 'hope', 'safe', 'time']",Germany
"['wear', 'mask', 'protect', 'around', 'hope', 'bel']","Connecticut, USA"
"['dont', 'wish', 'since', 'hope', 'due', 'karma']",United States
"['hope', 'madness', 'trend', 'sticks', 'around', 'pickup']",
"['hi', 'hope', 'safe', 'saw', 'rendition', 'cinema']",
"['would', 'hope', 'crisis', 'coming', 'youd', 'urgent']",
"['light', 'hope', 'yet', 'move', 'forward', 'together']",Luxembourg
"['relaxed', 'quarantine', 'august', 'hope', 'real', 'vaccine']","Metro Manila, Philippines"
"['hope', 'today', 'watchman', 'going', 'gate', 'pass']","Nairobi, Kenya"
"['guy', 'daily', 'lifting', 'us', 'need', 'hope']",USA
"['state', 'emergency', 'bylaw', 'police', 'issue', 'hope']","Vancouver, BC"
"['bugger', 'formally', 'hope', 'vaccine', 'well', 'goes']",Melbourne but I tour worldwide
"['hope', 'dont', 'get', 'back', 'stage', 'artist']",harlow essex
"['dont', 'hope', 'vaccine', 'improve', 'response', 'via']","Accra, Ghana"
"['hope', 'bamboo', 'bats', 'dogs', 'party', 'menu']", England
"['sad', 'reality', 'line', 'drive', 'food', 'drive']","Florida, USA"
"['problem', 'brought', 'sad']",New York
"['survival', 'rate', 'sad', 'check', 'survival', 'rate', 'liver', 'cancer']",Chicago
"['new', 'three', 'days', 'graphics', 'show', 'sad']",Germany
"['primary', 'sad', 'wont', 'happen', 'year', 'keep', 'reading', 'writ']",
"['terrible', 'news', 'sorry', 'hear', 'loss', 'sad', 'consider', 'many', 'wonderful', 'people', 'lost', 'l']",
"['sad', 'visa', 'affected', 'pandemic', 'therefore', 'delay']","London, UK"
"['full', 'price', 'train', 'ticket', 'unable', 'renew', 'due', 'sad', 'times']","England, United Kingdom"
"['emotional', 'anniversary', 'today', 'yesterday', 'supposed', 'way', 'perform', 'pilgrimage', 'sad']",Ireland
"['read', 'evolution', 'sad', 'woman', 'book', 'shopping', 'bottom']","Houston area, Texas"
"['sad', 'even', 'economy', 'human']","Liverpool, England"
"['sad', 'one', 'id', 'looking', 'much', 'forward', 'visiting', 'next', 'trip']","Charlottenlund, Denmark"
"['honesty', 'throughout', 'article', 'cried', 'sad', 'reminder', 'pain', 'loss']","Meath, Ireland"
"['cruise', 'booked', 'abandon', 'sad', 'one', 'l', 'r']",Surrey
"['sad', 'many', 'shortsightedness']","London, England"
"['whats', 'evidence', 'sad', 'please', 'make', 'mind']",Oresund Region
"['showing', 'hugely', 'sad', 'dramatic', 'resurgence', 'listen']",
"['sad', 'reality', 'result', 'underlying']","South East, England"
"['sad', 'news', 'family', 'worked', 'hard', 'feeding']",Cardiff
"['really', 'sad', 'need', 'keep', 'telling', 'people', 'wear', 'face', 'mask', 'w']",
"['many', 'world', 'struggling', 'longer', 'distance', 'sad', 'happening']",
"['fact', 'havent', 'able', 'go', 'year', 'sad']","Reno, NV"
"['nobody', 'better', 'feel', 'sad', 'rest', 'nobody', 'half', 'good', 'baby']","Gateshead, England"
"['sad', 'dying', 'lake', 'treatment']",Bhubaneswar
"['crisis', 'management', 'extremely', 'sad', 'directly', 'impacted', 'already', 'seen']",
"['alcohol', 'kill', 'virus', 'use', 'hand', 'feeling', 'sad', 'people']",India
"['sad', 'miss', 'massive', 'tit', 'party', 'tonight', 'please', 'reopen', 'state']",
"['sad', 'indictment', 'believe', 'live', 'us', 'constitutional', 'type', 'bill', 'rig']",Sydney NSW Australia
"['apparently', 'completely', 'taken', 'trump', 'cant', 'trust', 'anything', 'comes', 'sad']",Rural Northern California
"['sad', 'double', 'mastectomy', 'reconstruction', 'pay']",
"['sad', 'business', 'plan', 'shut', 'open', 'full']","Chelan, WA"
"['please', 'donate', 'share', 'link', 'sad', 'story', 'lord', 'please', 'take', 'away', 'dreadful', 'disease', 'nash']","Windsor, Ontario"
"['sad', 'news', 'pandemic']",WorldWide
"['sad', 'work', 'commercial', 'working', 'local', 'supermarket', 'faced', 'flying', 'jo']",Perth Australia
"['lots', 'local', 'see', 'empty', 'sad']",Toronto
"['sad', 'affected', 'affected', 'government', 'affected', 'yet', 'rioting']","Knoxville, Tn"
"['county', 'update', 'new', 'new', 'sad', 'report']",
"['cant', 'fix', 'economic', 'impact', 'pandemic', 'without', 'fixing', 'pandemic', 'sad', 'say', 'eve']",Instagram: rafaelbellotv
"['today', 'according', 'another', 'terribly', 'sad', 'day']",Kentucky Near
"['usually', 'full', 'people', 'night', 'feel', 'sad', 'business']","Dublin City, Ireland"
"['sad', 'ugly', 'triage', 'tragedy', 'unfold', 'way']","New York, NY"
"['passing', 'officer', 'truly', 'sad', 'sending']",
"['sad', 'enough', 'emphasis', 'chronic', 'cancer', 'afraid']",
['sad'],♥ The Empire Strikes Back ♥
"['sad', 'see', 'go', 'even', 'sad', 'see', 'ba', 'treating', 'staff']","36,000ft"
"['sad', 'silver', 'lining', 'terrible', 'also', 'value', 'infrastructure']",UK
"['sad', 'maybe', 'finally', 'make', 'seriousness', 'hit', 'home', 'congress']",Washington DC & Virginia
"['north', 'declared', 'state', 'emergency', 'one', 'single', 'case', 'kind', 'sad', 'tha']",
"['seeing', 'follow', 'count', 'go', 'due', 'posting', 'sad']",
"['sir', 'sad', 'truth', 'traitor', 'like', 'worth', 'hypocrisy', 'shame']","Karnataka, India"
"['health', 'sad', 'still', 'number']","Manila, Philippines"
"['totally', 'unexpected', 'sad']",  Shropshire England 
"['sad', 'sure', 'well', 'hear', 'though', 'question', 'w']",North America 
"['sad', 'give', 'wife']",United States
"['terribly', 'sad', 'mother', 'old', 'shield']",
"['sad', 'story', 'spread']","Cuttack, Bhubaneshwar, India "
"['sad', 'helping', 'right', 'everyone', 'gearing', 'persistently', 'assumption']","Chandler, AZ, USA"
"['sorry', 'hear', 'resident', 'particularly', 'sad', 'said']","Maryland, USA"
"['thats', 'sad', 'days', 'go', 'million', 'million', 'mar', 'mil']",USA
"['great', 'going', 'sad', 'commentary', 'unprepared', 'system', 'despite']","Reading, PA"
"['rip', 'sad', 'news', 'lost', 'one', 'doctor', 'tested', 'positive', 'last', 'month', 'took', 'h']","𝓝𝓮𝔀 𝓓𝓮𝓵𝓱𝓲, 𝓘𝓷𝓭𝓲𝓪"
"['already', 'welfare', 'system', 'broke', 'needs', 'serious', 'reform', 'sad']",
"['sad', 'part', 'catch', 'none', 'fail', 'realize']",
"['thats', 'sad']","Bareilly,🇬🇧British India🇮🇳"
"['whats', 'sad', 'answer', 'current', 'send']",
"['seen', 'video', 'dog', 'wearing', 'riding', 'bike', 'store', 'sad', 'thing']",
"['seen', 'video', 'dog', 'wearing', 'riding', 'bike', 'store', 'sad', 'thing']",
"['happening', 'trump', 'revealing', 'sad', 'death', 'destruction', 'trump']","Texas, USA"
"['sad', 'make', 'sure', 'medical', 'examiner', 'doesnt', 'list', 'cause', 'death', 'though']",United States
